Id,Name,Location,Address,Attribute,Goodperiod,PossibleTime,Costtime,Costmoney,Point,family,couple,other,url
ChIJSXGAhfhcGGARcz3MKth9lJQ,横滨红砖仓库,"{'lat': 35.4525944, 'lng': 139.6428944}",〒231-0001 神奈川県横浜市中区新港１丁目１,商业区，海滨，日剧,"16,21","6,23",60,0,4,0,1,日剧取景地,http://www.yokohama-akarenga.jp/
ChIJ92t8iPJdGGARfdfhGNI0Nsg,GUNDAM FACTORY YOKOHAMA,"{'lat': 35.4471034, 'lng': 139.6543446}",〒231-0023 神奈川県横浜市中区山下町279番25 山下ふ頭内,公园，二次元，动漫,"11,19","11,19",90,1600,4.5,0,0,上高达观景台要另外加钱,https://gundam-factory.net/
ChIJ__-Le-9cGGARNY-CTSHwq5A,横滨中华街,"{'lat': 35.4424221, 'lng': 139.6463923}",〒231-0023 神奈川県横浜市中区山下町,中华风,"11,20","9,21",120,2000,4,0,0,中华风,http://www.chinatown.or.jp/
ChIJEaFmc11cGGARx8g0NQrvYTY,横滨地标大厦,"{'lat': 35.45495400000001, 'lng': 139.6313859}",〒220-0012 神奈川県横浜市西区みなとみらい２丁目２?1,地标，夜景,"17,21","11,21",80,1000,4.2,0,1,空中花园观景台另外加钱,https://www.yokohama-landmark.jp/
ChIJo1uokdFCGGARYvl6Z6AcVTU,三溪园,"{'lat': 35.4170511, 'lng': 139.6588267}",〒231-0824 神奈川県横浜市中区本牧三之谷５８?1,庭院，日本风,"11,15","11,16",120,700,4.3,0,0,茶道表演另外加钱,http://www.sankeien.or.jp/
ChIJ_WgpQcRdGGARdbUYbJAEVNE,横滨面包超人儿童博物馆,"{'lat': 35.463253, 'lng': 139.6288266}",〒220-0012 神奈川県横浜市西区みなとみらい６丁目２?9,博物馆，儿童,"10,18","10,18",210,1500,3.9,1,0,儿童,https://www.yokohama-anpanman.jp/
ChIJ3ZNhe1dcGGARvjq5QHdmaHM,合味道纪念馆 横滨,"{'lat': 35.4554755, 'lng': 139.6388669}",〒231-0001 神奈川県横浜市中区新港２丁目３?4,博物馆,"11,19","11,19",70,500,4.2,1,0,杯面制作另外加钱,https://www.cupnoodles-museum.jp/ja/yokohama/
ChIJt1e7seJcGGARbDdyYvFJuuM,山下公園,"{'lat': 35.4456543, 'lng': 139.6500049}",〒231-0023 神奈川県横浜市中区山下町279,公园,"6,15","6,23",60,0,4.3,0,1,公园,http://www.city.yokohama.lg.jp/kankyo/park/yokohama/kouen008.html
ChIJ_-Fx-UJcGGARRLCtp76VLnA,横滨港未来21,"{'lat': 35.4600798, 'lng': 139.6324577}",〒231-0001 神奈川県横浜市中区新港２丁目８?1 よこはまコスモワールド,商业区，海滨，日剧,"6,23","6,23",90,0,4.3,0,1,摩天轮，日本丸等,http://cosmoworld.jp/attraction/wonder/cosmoclock21/
ChIJvdMQOx9dGGARbLStP8GzB9k,英国馆和港见丘公园,"{'lat': 35.4405924, 'lng': 139.654746}","114 Yamatecho, Naka Ward, Yokohama, Kanagawa 231-0862日本",公园，海滨，历史,"10,16","9,18",120,0,4.2,0,1,两个地方,http://www.city.yokohama.lg.jp/kankyo/park/yokohama/kouen007.html
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
